GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jqassistant-c4-plugin,org.jqassistant.plugin.c4,C4DiagramParser.new BaseErrorListener() {...},8,6,0,0,1,1,1,1,1,1
jqassistant-c4-plugin,org.jqassistant.plugin.c4,C4DiagramScannerPlugin,18,73,7,3,7,16,5,4,0,4
jqassistant-c4-plugin,org.jqassistant.plugin.c4,C4DiagramPersister,28,290,11,25,6,55,9,14,0,5
jqassistant-c4-plugin,org.jqassistant.plugin.c4,C4ParseListener,154,1165,89,135,20,217,81,63,0,32
jqassistant-c4-plugin,org.jqassistant.plugin.c4,C4DiagramParser,3,47,1,1,0,8,1,2,0,2
jqassistant-c4-plugin,org.jqassistant.plugin.c4.antlr,C4Parser.RelContext,7,27,2,2,2,7,4,4,2,4
jqassistant-c4-plugin,org.jqassistant.plugin.c4.antlr,C4BaseListener,12,31,0,0,12,29,12,29,12,29
jqassistant-c4-plugin,org.jqassistant.plugin.c4.antlr,C4Parser.AddPropertyContext,31,21,2,2,7,6,9,3,7,3
jqassistant-c4-plugin,org.jqassistant.plugin.c4.antlr,C4Parser.SystemContext,32,27,2,2,7,7,9,4,7,4
jqassistant-c4-plugin,org.jqassistant.plugin.c4.antlr,C4Parser.ParamListContext,30,21,2,2,7,6,9,3,7,3
jqassistant-c4-plugin,org.jqassistant.plugin.c4.antlr,C4Parser.RelParamListContext,30,21,2,2,7,6,9,3,7,3
jqassistant-c4-plugin,org.jqassistant.plugin.c4.antlr,C4Parser.PersonContext,12,27,2,2,3,7,5,4,3,4
jqassistant-c4-plugin,org.jqassistant.plugin.c4.antlr,C4Parser.HierarchyContext,31,21,2,2,7,6,9,3,7,3
jqassistant-c4-plugin,org.jqassistant.plugin.c4.antlr,C4Parser.C4Context,64,21,2,2,14,6,16,3,14,3
jqassistant-c4-plugin,org.jqassistant.plugin.c4.antlr,C4Lexer,16,737,0,8,8,27,8,9,8,5
jqassistant-c4-plugin,org.jqassistant.plugin.c4.antlr,C4Parser,476,2730,28,98,132,610,31,74,5,24
jqassistant-c4-plugin,org.jqassistant.plugin.c4.antlr,C4Parser.ElementContext,55,21,2,2,11,6,13,3,11,3
jqassistant-c4-plugin,org.jqassistant.plugin.c4.antlr,C4Parser.BoundaryContext,22,33,2,2,5,8,7,5,5,5
jqassistant-c4-plugin,org.jqassistant.plugin.c4.antlr,C4Parser.SystemParamListContext,30,21,2,2,7,6,9,3,7,3
jqassistant-c4-plugin,org.jqassistant.plugin.c4.antlr,C4Parser.GenericBoundaryParamListContext,30,21,2,2,7,6,9,3,7,3
jqassistant-c4-plugin,org.jqassistant.plugin.c4.antlr,C4Parser.ContainerContext,32,27,2,2,7,7,9,4,7,4
jqassistant-c4-plugin,org.jqassistant.plugin.c4.antlr,C4Parser.C4ElementContext,32,21,2,2,6,6,8,3,6,3
jqassistant-c4-plugin,org.jqassistant.plugin.c4.antlr,C4Parser.IgnoreContext,7,21,2,2,2,6,4,3,2,3
jqassistant-c4-plugin,org.jqassistant.plugin.c4.antlr,C4Parser.BoundaryParamListContext,30,21,2,2,7,6,9,3,7,3
jqassistant-c4-plugin,org.jqassistant.plugin.c4.antlr,C4Parser.BiRelContext,7,27,2,2,2,7,4,4,2,4
jqassistant-c4-plugin,org.jqassistant.plugin.c4.antlr,C4Parser.ComponentContext,32,27,2,2,7,7,9,4,7,4
jqassistant-c4-plugin,org.jqassistant.plugin.c4.report,C4Language.C4LanguageElement.new C4Language.C4LanguageElement() {...},2,5,0,0,1,1,1,1,1,1
jqassistant-c4-plugin,org.jqassistant.plugin.c4.report,C4Language.C4LanguageElement.new C4Language.C4LanguageElement() {...},2,5,0,0,1,1,1,1,1,1
jqassistant-c4-plugin,org.jqassistant.plugin.c4.report,C4Language.C4LanguageElement.new C4Language.C4LanguageElement() {...},2,5,0,0,1,1,1,1,1,1
jqassistant-c4-plugin,org.jqassistant.plugin.c4.report,C4Language.C4LanguageElement.new C4Language.C4LanguageElement() {...},2,5,0,0,1,1,1,1,1,1
jqassistant-c4-plugin,org.jqassistant.plugin.c4.report,C4Language.C4LanguageElement.new C4Language.C4LanguageElement() {...},2,5,0,0,1,1,1,1,1,1
jqassistant-c4-plugin,org.jqassistant.plugin.c4.report,C4Language.C4LanguageElement,2,33,0,0,1,6,1,1,1,1
jqassistant-c4-plugin,org.jqassistant.plugin.c4.data,SecondaryElementType,0,26,0,0,0,4,0,1,0,1
jqassistant-c4-plugin,org.jqassistant.plugin.c4.data,Person,0,2,0,0,0,1,0,1,0,1
jqassistant-c4-plugin,org.jqassistant.plugin.c4.data,AbstractElement,0,31,0,0,0,7,0,3,0,3
jqassistant-c4-plugin,org.jqassistant.plugin.c4.data,System,0,2,0,0,0,1,0,1,0,1
jqassistant-c4-plugin,org.jqassistant.plugin.c4.data,Container,0,2,0,0,0,1,0,1,0,1
jqassistant-c4-plugin,org.jqassistant.plugin.c4.data,AbstractBuildingBlock,0,129,1,9,0,20,1,12,0,8
jqassistant-c4-plugin,org.jqassistant.plugin.c4.data,Boundary,0,38,1,1,0,6,1,2,0,2
jqassistant-c4-plugin,org.jqassistant.plugin.c4.data,Component,0,2,0,0,0,1,0,1,0,1
jqassistant-c4-plugin,org.jqassistant.plugin.c4.data,ElementRelation,29,126,2,8,3,19,2,11,0,8
